script_file,folder,liquid,plate,well,t_aspirate,t_tip
220126_2receiver.py,0x3D_ZG-ZBD,R1,2,C4,1,1
220126_2receiver.py,0x3D_ZG-ZBD,R1,2,C13,2,2
220126_2receiver.py,0x3D_ZG-ZBD,R1,2,C22,3,3
220126_2receiver.py,0x3D_ZG-ZBD,R1,2,L4,4,4
220126_2receiver.py,0x3D_ZG-ZBD,R1,2,L13,5,5
220126_2receiver.py,0x3D_ZG-ZBD,R1,2,L22,6,6
220126_2receiver.py,0x3D_ZG-ZBD,R1,3,C4,1,7
220126_2receiver.py,0x3D_ZG-ZBD,R1,3,C13,2,8
220126_2receiver.py,0x3D_ZG-ZBD,R1,3,C22,3,9
220126_2receiver.py,0x3D_ZG-ZBD,R1,3,L4,4,10
220126_2receiver.py,0x3D_ZG-ZBD,R1,3,L13,5,11
220126_2receiver.py,0x3D_ZG-ZBD,R1,3,L22,6,12
220126_2receiver.py,0x3D_ZG-ZBD,R2,2,E2,1,1
220126_2receiver.py,0x3D_ZG-ZBD,R2,2,E11,2,2
220126_2receiver.py,0x3D_ZG-ZBD,R2,2,E20,3,3
220126_2receiver.py,0x3D_ZG-ZBD,R2,2,N2,4,4
220126_2receiver.py,0x3D_ZG-ZBD,R2,2,N11,5,5
220126_2receiver.py,0x3D_ZG-ZBD,R2,2,N20,6,6
220126_2receiver.py,0x3D_ZG-ZBD,R2,3,E2,1,7
220126_2receiver.py,0x3D_ZG-ZBD,R2,3,E11,2,8
220126_2receiver.py,0x3D_ZG-ZBD,R2,3,E20,3,9
220126_2receiver.py,0x3D_ZG-ZBD,R2,3,N2,4,10
220126_2receiver.py,0x3D_ZG-ZBD,R2,3,N11,5,11
220126_2receiver.py,0x3D_ZG-ZBD,R2,3,N20,6,12
220126_2receiver.py,0x3D_ZG-ZBD,I1,2,B3,1,1
220126_2receiver.py,0x3D_ZG-ZBD,I1,2,D5,2,2
220126_2receiver.py,0x3D_ZG-ZBD,I1,2,F5,3,3
220126_2receiver.py,0x3D_ZG-ZBD,I1,2,D14,4,4
220126_2receiver.py,0x3D_ZG-ZBD,I1,2,F14,5,5
220126_2receiver.py,0x3D_ZG-ZBD,I1,2,B21,6,6
220126_2receiver.py,0x3D_ZG-ZBD,I1,2,F23,7,7
220126_2receiver.py,0x3D_ZG-ZBD,I1,2,O5,8,8
220126_2receiver.py,0x3D_ZG-ZBD,I1,2,M14,9,9
220126_2receiver.py,0x3D_ZG-ZBD,I1,2,K21,10,10
220126_2receiver.py,0x3D_ZG-ZBD,I1,3,B3,1,1
220126_2receiver.py,0x3D_ZG-ZBD,I1,3,D5,2,2
220126_2receiver.py,0x3D_ZG-ZBD,I1,3,B12,3,3
220126_2receiver.py,0x3D_ZG-ZBD,I1,3,B14,4,4
220126_2receiver.py,0x3D_ZG-ZBD,I1,3,D14,5,5
220126_2receiver.py,0x3D_ZG-ZBD,I1,3,B23,6,6
220126_2receiver.py,0x3D_ZG-ZBD,I1,3,D23,7,7
220126_2receiver.py,0x3D_ZG-ZBD,I1,3,K12,8,8
220126_2receiver.py,0x3D_ZG-ZBD,I1,3,K14,9,9
220126_2receiver.py,0x3D_ZG-ZBD,I1,3,K23,10,10
220210_2receiver.py,0x3D_ZG-ZBD,R1,8,C4,1,1
220210_2receiver.py,0x3D_ZG-ZBD,R1,8,C13,2,2
220210_2receiver.py,0x3D_ZG-ZBD,R1,8,C22,3,3
220210_2receiver.py,0x3D_ZG-ZBD,R1,8,L4,4,4
220210_2receiver.py,0x3D_ZG-ZBD,R1,8,L13,5,5
220210_2receiver.py,0x3D_ZG-ZBD,R1,8,L22,6,6
220210_2receiver.py,0x3D_ZG-ZBD,R1,5,C4,1,7
220210_2receiver.py,0x3D_ZG-ZBD,R1,5,D14,2,8
220210_2receiver.py,0x3D_ZG-ZBD,R1,5,L4,3,9
220210_2receiver.py,0x3D_ZG-ZBD,R1,5,M14,4,10
220210_2receiver.py,0x3D_ZG-ZBD,R1,2,D5,1,11
220210_2receiver.py,0x3D_ZG-ZBD,R1,2,D14,2,12
220210_2receiver.py,0x3D_ZG-ZBD,R1,2,D23,3,13
220210_2receiver.py,0x3D_ZG-ZBD,R1,2,M5,4,14
220210_2receiver.py,0x3D_ZG-ZBD,R1,2,M14,5,15
220210_2receiver.py,0x3D_ZG-ZBD,R1,2,M23,6,16
220210_2receiver.py,0x3D_ZG-ZBD,R2,8,E2,1,1
220210_2receiver.py,0x3D_ZG-ZBD,R2,8,E11,2,2
220210_2receiver.py,0x3D_ZG-ZBD,R2,8,E20,3,3
220210_2receiver.py,0x3D_ZG-ZBD,R2,8,N2,4,4
220210_2receiver.py,0x3D_ZG-ZBD,R2,8,N11,5,5
220210_2receiver.py,0x3D_ZG-ZBD,R2,8,N20,6,6
220210_2receiver.py,0x3D_ZG-ZBD,R2,5,E2,1,7
220210_2receiver.py,0x3D_ZG-ZBD,R2,5,A12,2,8
220210_2receiver.py,0x3D_ZG-ZBD,R2,5,N2,3,9
220210_2receiver.py,0x3D_ZG-ZBD,R2,5,J12,4,10
220210_2receiver.py,0x3D_ZG-ZBD,R2,2,A3,1,11
220210_2receiver.py,0x3D_ZG-ZBD,R2,2,A12,2,12
220210_2receiver.py,0x3D_ZG-ZBD,R2,2,A21,3,13
220210_2receiver.py,0x3D_ZG-ZBD,R2,2,J3,4,14
220210_2receiver.py,0x3D_ZG-ZBD,R2,2,J12,5,15
220210_2receiver.py,0x3D_ZG-ZBD,R2,2,J21,6,16
220210_2receiver.py,0x3D_ZG-ZBD,I1,8,B3,1,1
220210_2receiver.py,0x3D_ZG-ZBD,I1,8,D5,2,2
220210_2receiver.py,0x3D_ZG-ZBD,I1,8,F5,3,3
220210_2receiver.py,0x3D_ZG-ZBD,I1,8,D14,4,4
220210_2receiver.py,0x3D_ZG-ZBD,I1,8,F14,5,5
220210_2receiver.py,0x3D_ZG-ZBD,I1,8,B21,1,6
220210_2receiver.py,0x3D_ZG-ZBD,I1,8,F23,2,7
220210_2receiver.py,0x3D_ZG-ZBD,I1,8,O5,3,8
220210_2receiver.py,0x3D_ZG-ZBD,I1,8,M14,4,9
220210_2receiver.py,0x3D_ZG-ZBD,I1,8,K21,5,10
220210_2receiver.py,0x3D_ZG-ZBD,I1,5,B3,1,11
220210_2receiver.py,0x3D_ZG-ZBD,I1,5,D5,2,12
220210_2receiver.py,0x3D_ZG-ZBD,I1,5,F14,3,13
220210_2receiver.py,0x3D_ZG-ZBD,I1,2,C1,1,14
220210_2receiver.py,0x3D_ZG-ZBD,I1,2,C5,2,15
220210_2receiver.py,0x3D_ZG-ZBD,I1,2,F5,3,16
220210_2receiver.py,0x3D_ZG-ZBD,I1,2,C10,4,17
220210_2receiver.py,0x3D_ZG-ZBD,I1,2,C14,5,18
220210_2receiver.py,0x3D_ZG-ZBD,I1,2,C19,1,19
220210_2receiver.py,0x3D_ZG-ZBD,I1,2,F23,2,20
220210_2receiver.py,0x3D_ZG-ZBD,I1,2,L5,3,21
220210_2receiver.py,0x3D_ZG-ZBD,I1,2,O5,4,22
220210_2receiver.py,0x3D_ZG-ZBD,I1,2,L14,5,23
220210_2receiver.py,0x3D_ZG-ZBD,I1,2,L19,1,24
220330_2receiver.py,0x3D_ZG-ZBD,R1,8,C4,1,1
220330_2receiver.py,0x3D_ZG-ZBD,R1,8,C13,2,2
220330_2receiver.py,0x3D_ZG-ZBD,R1,8,C22,3,3
220330_2receiver.py,0x3D_ZG-ZBD,R1,8,L4,4,4
220330_2receiver.py,0x3D_ZG-ZBD,R1,8,L13,5,5
220330_2receiver.py,0x3D_ZG-ZBD,R1,8,L22,6,6
220330_2receiver.py,0x3D_ZG-ZBD,R1,5,C4,1,7
220330_2receiver.py,0x3D_ZG-ZBD,R1,5,D14,2,8
220330_2receiver.py,0x3D_ZG-ZBD,R1,5,L4,3,9
220330_2receiver.py,0x3D_ZG-ZBD,R1,5,M14,4,10
220330_2receiver.py,0x3D_ZG-ZBD,R1,2,D5,1,11
220330_2receiver.py,0x3D_ZG-ZBD,R1,2,D14,2,12
220330_2receiver.py,0x3D_ZG-ZBD,R1,2,D23,3,13
220330_2receiver.py,0x3D_ZG-ZBD,R1,2,M5,4,14
220330_2receiver.py,0x3D_ZG-ZBD,R1,2,M14,5,15
220330_2receiver.py,0x3D_ZG-ZBD,R1,2,M23,6,16
220330_2receiver.py,0x3D_ZG-ZBD,R2,8,E2,1,1
220330_2receiver.py,0x3D_ZG-ZBD,R2,8,E11,2,2
220330_2receiver.py,0x3D_ZG-ZBD,R2,8,E20,3,3
220330_2receiver.py,0x3D_ZG-ZBD,R2,8,N2,4,4
220330_2receiver.py,0x3D_ZG-ZBD,R2,8,N11,5,5
220330_2receiver.py,0x3D_ZG-ZBD,R2,8,N20,6,6
220330_2receiver.py,0x3D_ZG-ZBD,R2,5,E2,1,7
220330_2receiver.py,0x3D_ZG-ZBD,R2,5,A12,2,8
220330_2receiver.py,0x3D_ZG-ZBD,R2,5,N2,3,9
220330_2receiver.py,0x3D_ZG-ZBD,R2,5,J12,4,10
220330_2receiver.py,0x3D_ZG-ZBD,R2,2,A3,1,11
220330_2receiver.py,0x3D_ZG-ZBD,R2,2,A12,2,12
220330_2receiver.py,0x3D_ZG-ZBD,R2,2,A21,3,13
220330_2receiver.py,0x3D_ZG-ZBD,R2,2,J3,4,14
220330_2receiver.py,0x3D_ZG-ZBD,R2,2,J12,5,15
220330_2receiver.py,0x3D_ZG-ZBD,R2,2,J21,6,16
220330_2receiver.py,0x3D_ZG-ZBD,I1,8,B3,1,1
220330_2receiver.py,0x3D_ZG-ZBD,I1,8,D5,2,2
220330_2receiver.py,0x3D_ZG-ZBD,I1,8,F5,3,3
220330_2receiver.py,0x3D_ZG-ZBD,I1,8,D14,4,4
220330_2receiver.py,0x3D_ZG-ZBD,I1,8,F14,5,5
220330_2receiver.py,0x3D_ZG-ZBD,I1,8,B21,1,6
220330_2receiver.py,0x3D_ZG-ZBD,I1,8,F23,2,7
220330_2receiver.py,0x3D_ZG-ZBD,I1,8,O5,3,8
220330_2receiver.py,0x3D_ZG-ZBD,I1,8,M14,4,9
220330_2receiver.py,0x3D_ZG-ZBD,I1,8,K21,5,10
220330_2receiver.py,0x3D_ZG-ZBD,I1,5,B3,1,11
220330_2receiver.py,0x3D_ZG-ZBD,I1,5,D5,2,12
220330_2receiver.py,0x3D_ZG-ZBD,I1,5,F14,3,13
220330_2receiver.py,0x3D_ZG-ZBD,I1,2,C1,1,14
220330_2receiver.py,0x3D_ZG-ZBD,I1,2,C5,2,15
220330_2receiver.py,0x3D_ZG-ZBD,I1,2,F5,3,16
220330_2receiver.py,0x3D_ZG-ZBD,I1,2,C10,4,17
220330_2receiver.py,0x3D_ZG-ZBD,I1,2,C14,5,18
220330_2receiver.py,0x3D_ZG-ZBD,I1,2,C19,1,19
220330_2receiver.py,0x3D_ZG-ZBD,I1,2,F23,2,20
220330_2receiver.py,0x3D_ZG-ZBD,I1,2,L5,3,21
220330_2receiver.py,0x3D_ZG-ZBD,I1,2,O5,4,22
220330_2receiver.py,0x3D_ZG-ZBD,I1,2,L14,5,23
220330_2receiver.py,0x3D_ZG-ZBD,I1,2,L19,1,24
211214_ZG_0x7F_rep2.py,0x7F_ZG,R1,8,D4,1,1
211214_ZG_0x7F_rep2.py,0x7F_ZG,R1,8,D13,2,2
211214_ZG_0x7F_rep2.py,0x7F_ZG,R1,8,D22,3,3
211214_ZG_0x7F_rep2.py,0x7F_ZG,R1,8,M4,4,4
211214_ZG_0x7F_rep2.py,0x7F_ZG,R1,8,M13,5,5
211214_ZG_0x7F_rep2.py,0x7F_ZG,R1,9,D4,1,1
211214_ZG_0x7F_rep2.py,0x7F_ZG,R1,9,D13,2,2
